event,mid,best_ask,best_bid,buy_market_vol,sell_market_vol,buy_limit_vol,sell_limit_vol,buy_cancel_vol,sell_cancel_vol,lvl0_ask_p,lvl0_ask_v,lvl0_bid_p,lvl0_bid_v,lvl1_ask_p,lvl1_ask_v,lvl1_bid_p,lvl1_bid_v,lvl2_ask_p,lvl2_ask_v,lvl2_bid_p,lvl2_bid_v,lvl3_ask_p,lvl3_ask_v,lvl3_bid_p,lvl3_bid_v,lvl4_ask_p,lvl4_ask_v,lvl4_bid_p,lvl4_bid_v,lvl5_ask_p,lvl5_ask_v,lvl5_bid_p,lvl5_bid_v,lvl6_ask_p,lvl6_ask_v,lvl6_bid_p,lvl6_bid_v,lvl7_ask_p,lvl7_ask_v,lvl7_bid_p,lvl7_bid_v,lvl8_ask_p,lvl8_ask_v,lvl8_bid_p,lvl8_bid_v,lvl9_ask_p,lvl9_ask_v,lvl9_bid_p,lvl9_bid_v
149,12.315001,12.34,12.29,32.0,63.0,20.0,31.0,6.0,56.0,12.34,1200.0,12.29,7900.0,12.35,15000.0,12.28,10400.0,12.36,16000.0,12.27,10000.0,12.37,2200.0,12.26,9200.0,12.38,8600.0,12.25,17000.0,12.39,3700.0,12.24,3900.0,12.4,3600.0,12.23,11700.0,12.41,19900.0,12.22,12700.0,12.42,16500.0,12.21,17100.0,12.43,12400.0,12.2,12500.0
150,12.32,12.34,12.3,12.0,7.0,41.0,46.0,17.0,31.0,12.34,5600.0,12.3,19200.0,12.35,15900.0,12.29,17500.0,12.36,19600.0,12.28,7600.0,12.37,3700.0,12.27,17300.0,12.38,9900.0,12.26,19200.0,12.39,14100.0,12.25,5800.0,12.4,7700.0,12.24,12500.0,12.41,8400.0,12.23,6300.0,12.42,4900.0,12.22,13300.0,12.43,1600.0,12.21,2700.0
151,12.315001,12.33,12.3,7.0,32.0,73.0,31.0,10.0,6.0,12.33,1800.0,12.3,14900.0,12.34,1500.0,12.29,8900.0,12.35,3300.0,12.28,12100.0,12.36,1600.0,12.27,1400.0,12.37,8800.0,12.26,14200.0,12.38,3000.0,12.25,10400.0,12.39,16300.0,12.24,12800.0,12.4,15200.0,12.23,6900.0,12.41,18800.0,12.22,3700.0,12.42,12500.0,12.21,9200.0
152,12.309999,12.32,12.3,45.0,32.0,26.0,76.0,79.0,66.0,12.32,1600.0,12.3,18900.0,12.33,14300.0,12.29,5300.0,12.34,1900.0,12.28,13800.0,12.35,11300.0,12.27,1900.0,12.36,19700.0,12.26,14600.0,12.37,9700.0,12.25,5500.0,12.38,6100.0,12.24,9500.0,12.39,2000.0,12.23,7900.0,12.4,5100.0,12.22,3100.0,12.41,3300.0,12.21,7500.0
153,12.309999,12.32,12.3,26.0,36.0,9.0,55.0,17.0,70.0,12.32,8200.0,12.3,7600.0,12.33,14100.0,12.29,10900.0,12.34,4600.0,12.28,19400.0,12.35,14800.0,12.27,9900.0,12.36,1900.0,12.26,18300.0,12.37,15100.0,12.25,9700.0,12.38,4000.0,12.24,3000.0,12.39,6500.0,12.23,5300.0,12.4,4900.0,12.22,8700.0,12.41,1800.0,12.21,7100.0
154,12.309999,12.33,12.29,3.0,22.0,78.0,51.0,39.0,45.0,12.33,17500.0,12.29,17400.0,12.34,1100.0,12.28,13800.0,12.35,19800.0,12.27,11900.0,12.36,8400.0,12.26,10300.0,12.37,5000.0,12.25,8500.0,12.38,18800.0,12.24,12600.0,12.39,9100.0,12.23,3300.0,12.4,18200.0,12.22,4000.0,12.41,14700.0,12.21,6700.0,12.42,6200.0,12.2,4200.0
155,12.309999,12.33,12.29,23.0,20.0,15.0,2.0,31.0,7.0,12.33,8100.0,12.29,13800.0,12.34,8900.0,12.28,1400.0,12.35,6000.0,12.27,4000.0,12.36,8600.0,12.26,18100.0,12.37,19200.0,12.25,19900.0,12.38,3100.0,12.24,10200.0,12.39,1800.0,12.23,10400.0,12.4,11900.0,12.22,15600.0,12.41,7300.0,12.21,1600.0,12.42,9600.0,12.2,9100.0
156,12.309999,12.32,12.3,79.0,76.0,12.0,74.0,58.0,39.0,12.32,12800.0,12.3,2800.0,12.33,12600.0,12.29,8600.0,12.34,15000.0,12.28,19600.0,12.35,5300.0,12.27,15300.0,12.36,3400.0,12.26,19700.0,12.37,10100.0,12.25,15100.0,12.38,15700.0,12.24,12500.0,12.39,8300.0,12.23,15300.0,12.4,10000.0,12.22,13500.0,12.41,12600.0,12.21,9800.0
157,12.315001,12.33,12.3,51.0,57.0,37.0,52.0,44.0,41.0,12.33,3200.0,12.3,6500.0,12.34,18800.0,12.29,10800.0,12.35,13000.0,12.28,5900.0,12.36,14400.0,12.27,10200.0,12.37,5100.0,12.26,3700.0,12.38,8500.0,12.25,11700.0,12.39,6300.0,12.24,5600.0,12.4,6100.0,12.23,6500.0,12.41,15000.0,12.22,10400.0,12.42,9900.0,12.21,4000.0
158,12.315001,12.34,12.29,9.0,36.0,36.0,78.0,21.0,61.0,12.34,11300.0,12.29,19200.0,12.35,15100.0,12.28,9400.0,12.36,6800.0,12.27,7600.0,12.37,1500.0,12.26,1500.0,12.38,15700.0,12.25,17000.0,12.39,19400.0,12.24,12800.0,12.4,18600.0,12.23,8900.0,12.41,5800.0,12.22,5600.0,12.42,5400.0,12.21,15100.0,12.43,1100.0,12.2,18900.0
159,12.309999,12.32,12.3,73.0,66.0,16.0,39.0,49.0,65.0,12.32,15700.0,12.3,8200.0,12.33,14300.0,12.29,3500.0,12.34,9100.0,12.28,3000.0,12.35,3100.0,12.27,1100.0,12.36,16100.0,12.26,15100.0,12.37,17900.0,12.25,19600.0,12.38,19300.0,12.24,19800.0,12.39,1300.0,12.23,15800.0,12.4,14700.0,12.22,4000.0,12.41,3500.0,12.21,19500.0
160,12.309999,12.33,12.29,78.0,5.0,70.0,54.0,66.0,75.0,12.33,17700.0,12.29,7200.0,12.34,2400.0,12.28,7300.0,12.35,1100.0,12.27,14000.0,12.36,8200.0,12.26,1900.0,12.37,19600.0,12.25,16600.0,12.38,18100.0,12.24,19900.0,12.39,1200.0,12.23,15700.0,12.4,15900.0,12.22,15800.0,12.41,6000.0,12.21,8400.0,12.42,18600.0,12.2,2200.0
161,12.305,12.31,12.3,22.0,45.0,2.0,41.0,55.0,36.0,12.31,13100.0,12.3,16000.0,12.32,16100.0,12.29,12300.0,12.33,15500.0,12.28,18200.0,12.34,15500.0,12.27,3200.0,12.35,5600.0,12.26,6700.0,12.36,7500.0,12.25,7800.0,12.37,5100.0,12.24,13900.0,12.38,3000.0,12.23,15900.0,12.39,13500.0,12.22,19200.0,12.4,1100.0,12.21,6600.0
162,12.315001,12.34,12.29,38.0,54.0,73.0,68.0,20.0,59.0,12.34,18000.0,12.29,10300.0,12.35,11600.0,12.28,1500.0,12.36,15400.0,12.27,5800.0,12.37,19200.0,12.26,8100.0,12.38,4500.0,12.25,12200.0,12.39,10000.0,12.24,9900.0,12.4,19000.0,12.23,7900.0,12.41,8500.0,12.22,12800.0,12.42,4200.0,12.21,16700.0,12.43,5300.0,12.2,5500.0
163,12.315001,12.32,12.31,67.0,3.0,51.0,56.0,3.0,79.0,12.32,1200.0,12.31,7500.0,12.33,12000.0,12.3,14300.0,12.34,18000.0,12.29,15700.0,12.35,7000.0,12.28,16600.0,12.36,4600.0,12.27,4900.0,12.37,7800.0,12.26,11200.0,12.38,4800.0,12.25,18100.0,12.39,6100.0,12.24,8400.0,12.4,12400.0,12.23,9100.0,12.41,8600.0,12.22,19700.0
164,12.309999,12.32,12.3,38.0,56.0,21.0,31.0,57.0,25.0,12.32,9200.0,12.3,3100.0,12.33,14800.0,12.29,14400.0,12.34,5100.0,12.28,17100.0,12.35,8400.0,12.27,3800.0,12.36,4200.0,12.26,14500.0,12.37,5100.0,12.25,9900.0,12.38,14900.0,12.24,17200.0,12.39,10300.0,12.23,18200.0,12.4,6700.0,12.22,17500.0,12.41,5700.0,12.21,2200.0
165,12.315001,12.33,12.3,70.0,56.0,32.0,51.0,43.0,56.0,12.33,14700.0,12.3,15300.0,12.34,18600.0,12.29,18500.0,12.35,2900.0,12.28,12800.0,12.36,14300.0,12.27,12400.0,12.37,1300.0,12.26,1800.0,12.38,13700.0,12.25,17200.0,12.39,4400.0,12.24,1800.0,12.4,8600.0,12.23,6900.0,12.41,19600.0,12.22,18500.0,12.42,11600.0,12.21,19000.0
166,12.309999,12.32,12.3,43.0,42.0,6.0,8.0,5.0,75.0,12.32,5300.0,12.3,19800.0,12.33,9400.0,12.29,10000.0,12.34,1900.0,12.28,4300.0,12.35,4600.0,12.27,10200.0,12.36,4600.0,12.26,2900.0,12.37,12400.0,12.25,17500.0,12.38,2300.0,12.24,11600.0,12.39,19200.0,12.23,8600.0,12.4,4400.0,12.22,2500.0,12.41,18700.0,12.21,8600.0
167,12.315001,12.32,12.31,50.0,53.0,73.0,54.0,3.0,27.0,12.32,2900.0,12.31,17400.0,12.33,16200.0,12.3,14300.0,12.34,2600.0,12.29,2500.0,12.35,5100.0,12.28,4000.0,12.36,11100.0,12.27,8400.0,12.37,15500.0,12.26,2900.0,12.38,14800.0,12.25,18700.0,12.39,3400.0,12.24,13300.0,12.4,10600.0,12.23,2800.0,12.41,6500.0,12.22,15900.0
168,12.309999,12.33,12.29,65.0,75.0,56.0,36.0,11.0,11.0,12.33,17500.0,12.29,7900.0,12.34,3000.0,12.28,5600.0,12.35,17000.0,12.27,11800.0,12.36,9100.0,12.26,1200.0,12.37,15800.0,12.25,9800.0,12.38,11300.0,12.24,17000.0,12.39,11600.0,12.23,18600.0,12.4,11600.0,12.22,7500.0,12.41,18500.0,12.21,13200.0,12.42,15400.0,12.2,5300.0
169,12.315001,12.32,12.31,55.0,27.0,78.0,23.0,52.0,6.0,12.32,13700.0,12.31,11600.0,12.33,2900.0,12.3,5800.0,12.34,18300.0,12.29,11800.0,12.35,15700.0,12.28,4200.0,12.36,5100.0,12.27,18800.0,12.37,8900.0,12.26,17800.0,12.38,16300.0,12.25,7400.0,12.39,19000.0,12.24,15700.0,12.4,3400.0,12.23,2800.0,12.41,3400.0,12.22,15000.0
170,12.315001,12.34,12.29,2.0,17.0,3.0,68.0,20.0,20.0,12.34,3700.0,12.29,6300.0,12.35,9200.0,12.28,3500.0,12.36,7200.0,12.27,13800.0,12.37,19400.0,12.26,9900.0,12.38,15100.0,12.25,11000.0,12.39,9800.0,12.24,10800.0,12.4,19200.0,12.23,2100.0,12.41,10700.0,12.22,1900.0,12.42,17600.0,12.21,12400.0,12.43,1800.0,12.2,12800.0
171,12.315001,12.32,12.31,63.0,32.0,74.0,68.0,25.0,66.0,12.32,9200.0,12.31,1800.0,12.33,19500.0,12.3,8100.0,12.34,1400.0,12.29,12600.0,12.35,8100.0,12.28,13400.0,12.36,4000.0,12.27,16700.0,12.37,8900.0,12.26,8900.0,12.38,16200.0,12.25,11400.0,12.39,1000.0,12.24,11900.0,12.4,13200.0,12.23,6900.0,12.41,4400.0,12.22,2000.0
172,12.309999,12.32,12.3,6.0,76.0,66.0,4.0,79.0,41.0,12.32,17000.0,12.3,1000.0,12.33,12000.0,12.29,16800.0,12.34,7600.0,12.28,4800.0,12.35,14500.0,12.27,12900.0,12.36,1200.0,12.26,11900.0,12.37,1000.0,12.25,8500.0,12.38,6700.0,12.24,16800.0,12.39,19500.0,12.23,14200.0,12.4,14900.0,12.22,1400.0,12.41,2200.0,12.21,15700.0
173,12.315001,12.34,12.29,29.0,39.0,41.0,49.0,48.0,69.0,12.34,9100.0,12.29,10600.0,12.35,14100.0,12.28,7500.0,12.36,13900.0,12.27,14800.0,12.37,5500.0,12.26,14000.0,12.38,4200.0,12.25,6900.0,12.39,15800.0,12.24,19600.0,12.4,2200.0,12.23,13300.0,12.41,11800.0,12.22,12500.0,12.42,15900.0,12.21,2300.0,12.43,15000.0,12.2,6300.0
174,12.305,12.31,12.3,1.0,74.0,49.0,3.0,6.0,53.0,12.31,3900.0,12.3,9400.0,12.32,1500.0,12.29,12900.0,12.33,11700.0,12.28,10700.0,12.34,1500.0,12.27,15400.0,12.35,1600.0,12.26,5900.0,12.36,8500.0,12.25,14300.0,12.37,8700.0,12.24,16500.0,12.38,18700.0,12.23,15500.0,12.39,1700.0,12.22,15600.0,12.4,4900.0,12.21,17800.0
175,12.305,12.31,12.3,78.0,63.0,24.0,36.0,38.0,50.0,12.31,19500.0,12.3,2500.0,12.32,2800.0,12.29,14200.0,12.33,3700.0,12.28,19400.0,12.34,11200.0,12.27,11800.0,12.35,17300.0,12.26,5100.0,12.36,11500.0,12.25,19900.0,12.37,1400.0,12.24,4300.0,12.38,3700.0,12.23,7300.0,12.39,3400.0,12.22,4200.0,12.4,17200.0,12.21,9800.0
176,12.309999,12.33,12.29,49.0,9.0,40.0,76.0,26.0,3.0,12.33,7800.0,12.29,8900.0,12.34,19400.0,12.28,10300.0,12.35,9900.0,12.27,18600.0,12.36,1700.0,12.26,10000.0,12.37,15200.0,12.25,10700.0,12.38,17400.0,12.24,17800.0,12.39,7300.0,12.23,16500.0,12.4,5600.0,12.22,5500.0,12.41,19500.0,12.21,1200.0,12.42,7700.0,12.2,12900.0
177,12.315001,12.32,12.31,30.0,54.0,76.0,40.0,65.0,26.0,12.32,8800.0,12.31,17000.0,12.33,5700.0,12.3,11500.0,12.34,3300.0,12.29,5000.0,12.35,4200.0,12.28,15000.0,12.36,4800.0,12.27,13700.0,12.37,7500.0,12.26,11700.0,12.38,17600.0,12.25,17400.0,12.39,1200.0,12.24,15900.0,12.4,19100.0,12.23,13600.0,12.41,4500.0,12.22,13600.0
178,12.315001,12.34,12.29,67.0,70.0,65.0,11.0,44.0,38.0,12.34,13000.0,12.29,13500.0,12.35,9100.0,12.28,10900.0,12.36,13300.0,12.27,9800.0,12.37,15600.0,12.26,14400.0,12.38,6700.0,12.25,12500.0,12.39,15300.0,12.24,10300.0,12.4,14500.0,12.23,3400.0,12.41,8300.0,12.22,14300.0,12.42,18000.0,12.21,13200.0,12.43,13600.0,12.2,7500.0
179,12.315001,12.33,12.3,6.0,41.0,29.0,19.0,7.0,45.0,12.33,14300.0,12.3,7700.0,12.34,1900.0,12.29,5600.0,12.35,12600.0,12.28,19200.0,12.36,10400.0,12.27,17300.0,12.37,15700.0,12.26,11600.0,12.38,16200.0,12.25,8600.0,12.39,9400.0,12.24,14900.0,12.4,13100.0,12.23,11000.0,12.41,9200.0,12.22,19500.0,12.42,2200.0,12.21,2000.0
180,12.315001,12.34,12.29,18.0,24.0,44.0,2.0,25.0,58.0,12.34,10100.0,12.29,1600.0,12.35,7400.0,12.28,11800.0,12.36,8600.0,12.27,4800.0,12.37,6400.0,12.26,12400.0,12.38,19000.0,12.25,15800.0,12.39,11400.0,12.24,3600.0,12.4,5600.0,12.23,9300.0,12.41,5600.0,12.22,14000.0,12.42,7900.0,12.21,16800.0,12.43,6100.0,12.2,10400.0
181,12.32,12.33,12.31,58.0,64.0,30.0,63.0,42.0,0.0,12.33,14500.0,12.31,4900.0,12.34,15400.0,12.3,12100.0,12.35,13300.0,12.29,9600.0,12.36,18700.0,12.28,15600.0,12.37,4600.0,12.27,11500.0,12.38,18100.0,12.26,6300.0,12.39,11100.0,12.25,15300.0,12.4,6100.0,12.24,10800.0,12.41,11500.0,12.23,4300.0,12.42,4300.0,12.22,11600.0
182,12.315001,12.32,12.31,73.0,4.0,27.0,71.0,25.0,53.0,12.32,4300.0,12.31,19000.0,12.33,10900.0,12.3,14400.0,12.34,8500.0,12.29,6600.0,12.35,10200.0,12.28,14500.0,12.36,8500.0,12.27,6300.0,12.37,3700.0,12.26,11300.0,12.38,13900.0,12.25,11000.0,12.39,5800.0,12.24,5700.0,12.4,8100.0,12.23,7600.0,12.41,4800.0,12.22,18900.0
183,12.315001,12.34,12.29,26.0,68.0,50.0,22.0,24.0,33.0,12.34,7200.0,12.29,5700.0,12.35,12500.0,12.28,16200.0,12.36,9800.0,12.27,13600.0,12.37,2800.0,12.26,11100.0,12.38,2200.0,12.25,3600.0,12.39,12200.0,12.24,4800.0,12.4,1600.0,12.23,4400.0,12.41,15600.0,12.22,12100.0,12.42,8200.0,12.21,19400.0,12.43,8300.0,12.2,17600.0
184,12.32,12.34,12.3,54.0,6.0,33.0,22.0,79.0,73.0,12.34,7500.0,12.3,1400.0,12.35,3000.0,12.29,6200.0,12.36,4500.0,12.28,3900.0,12.37,8200.0,12.27,19500.0,12.38,4800.0,12.26,5400.0,12.39,19900.0,12.25,4800.0,12.4,16700.0,12.24,12700.0,12.41,18600.0,12.23,11500.0,12.42,12200.0,12.22,5200.0,12.43,11900.0,12.21,13700.0
185,12.325001,12.35,12.3,2.0,4.0,50.0,46.0,1.0,78.0,12.35,19700.0,12.3,2800.0,12.36,3900.0,12.29,1300.0,12.37,16000.0,12.28,2500.0,12.38,18300.0,12.27,7900.0,12.39,6400.0,12.26,19500.0,12.4,14600.0,12.25,11300.0,12.41,17800.0,12.24,15300.0,12.42,13100.0,12.23,7100.0,12.43,19700.0,12.22,14600.0,12.44,18900.0,12.21,19300.0
186,12.33,12.34,12.32,18.0,41.0,77.0,63.0,25.0,9.0,12.34,11400.0,12.32,7700.0,12.35,18900.0,12.31,19900.0,12.36,3300.0,12.3,13100.0,12.37,12400.0,12.29,15200.0,12.38,19500.0,12.28,5700.0,12.39,19500.0,12.27,13200.0,12.4,2500.0,12.26,10700.0,12.41,3500.0,12.25,19100.0,12.42,15500.0,12.24,18100.0,12.43,12400.0,12.23,8500.0
187,12.315001,12.33,12.3,14.0,5.0,8.0,74.0,43.0,17.0,12.33,9100.0,12.3,18900.0,12.34,3800.0,12.29,17800.0,12.35,9000.0,12.28,12200.0,12.36,13600.0,12.27,2500.0,12.37,3800.0,12.26,4000.0,12.38,15700.0,12.25,2400.0,12.39,12600.0,12.24,3000.0,12.4,15500.0,12.23,19500.0,12.41,8800.0,12.22,5000.0,12.42,9400.0,12.21,14100.0
188,12.315001,12.33,12.3,39.0,57.0,32.0,77.0,61.0,65.0,12.33,14800.0,12.3,13000.0,12.34,12000.0,12.29,12900.0,12.35,5100.0,12.28,4900.0,12.36,18600.0,12.27,12000.0,12.37,17300.0,12.26,12800.0,12.38,9600.0,12.25,11800.0,12.39,14100.0,12.24,4500.0,12.4,9700.0,12.23,14700.0,12.41,2600.0,12.22,2300.0,12.42,4000.0,12.21,12200.0
189,12.315001,12.33,12.3,29.0,38.0,15.0,44.0,62.0,54.0,12.33,5500.0,12.3,9200.0,12.34,3500.0,12.29,5700.0,12.35,1300.0,12.28,16300.0,12.36,9800.0,12.27,4300.0,12.37,10900.0,12.26,18700.0,12.38,16600.0,12.25,17800.0,12.39,8700.0,12.24,7800.0,12.4,7000.0,12.23,6700.0,12.41,18400.0,12.22,3600.0,12.42,17100.0,12.21,18400.0
190,12.33,12.34,12.32,7.0,59.0,5.0,51.0,18.0,3.0,12.34,17000.0,12.32,12900.0,12.35,17200.0,12.31,1600.0,12.36,16500.0,12.3,10700.0,12.37,19200.0,12.29,2600.0,12.38,18600.0,12.28,11900.0,12.39,2900.0,12.27,10600.0,12.4,1700.0,12.26,2500.0,12.41,11100.0,12.25,16500.0,12.42,3000.0,12.24,5900.0,12.43,8400.0,12.23,11200.0
191,12.33,12.34,12.32,17.0,62.0,0.0,3.0,49.0,8.0,12.34,1000.0,12.32,13100.0,12.35,10400.0,12.31,19200.0,12.36,6700.0,12.3,10300.0,12.37,2500.0,12.29,18400.0,12.38,16800.0,12.28,7700.0,12.39,9700.0,12.27,17200.0,12.4,6600.0,12.26,5400.0,12.41,5500.0,12.25,14400.0,12.42,5000.0,12.24,2600.0,12.43,4100.0,12.23,19700.0
192,12.33,12.35,12.31,7.0,63.0,29.0,5.0,56.0,19.0,12.35,17500.0,12.31,19100.0,12.36,6200.0,12.3,9400.0,12.37,10300.0,12.29,10900.0,12.38,1500.0,12.28,12300.0,12.39,1700.0,12.27,6200.0,12.4,6500.0,12.26,13800.0,12.41,18000.0,12.25,14200.0,12.42,9200.0,12.24,10900.0,12.43,10700.0,12.23,3800.0,12.44,19100.0,12.22,18400.0
193,12.325,12.33,12.32,10.0,8.0,7.0,77.0,3.0,58.0,12.33,5500.0,12.32,3100.0,12.34,4100.0,12.31,12900.0,12.35,1500.0,12.3,2900.0,12.36,13300.0,12.29,3700.0,12.37,2300.0,12.28,1300.0,12.38,14400.0,12.27,7900.0,12.39,6400.0,12.26,13100.0,12.4,4200.0,12.25,10900.0,12.41,10100.0,12.24,13800.0,12.42,12800.0,12.23,13800.0
194,12.33,12.34,12.32,52.0,67.0,57.0,19.0,44.0,20.0,12.34,5000.0,12.32,3600.0,12.35,11100.0,12.31,2000.0,12.36,9600.0,12.3,12800.0,12.37,16500.0,12.29,13400.0,12.38,19800.0,12.28,11500.0,12.39,9400.0,12.27,5600.0,12.4,13700.0,12.26,16400.0,12.41,7000.0,12.25,2400.0,12.42,1100.0,12.24,13000.0,12.43,13500.0,12.23,3200.0
195,12.33,12.34,12.32,13.0,69.0,27.0,45.0,51.0,35.0,12.34,1400.0,12.32,13400.0,12.35,8500.0,12.31,8900.0,12.36,5900.0,12.3,14600.0,12.37,15100.0,12.29,1900.0,12.38,2600.0,12.28,11500.0,12.39,12400.0,12.27,3700.0,12.4,4000.0,12.26,13900.0,12.41,9600.0,12.25,3200.0,12.42,12500.0,12.24,2300.0,12.43,5300.0,12.23,14500.0
196,12.325,12.33,12.32,4.0,40.0,17.0,22.0,13.0,68.0,12.33,5200.0,12.32,2200.0,12.34,19200.0,12.31,5200.0,12.35,10700.0,12.3,16600.0,12.36,19800.0,12.29,16300.0,12.37,7400.0,12.28,17200.0,12.38,1200.0,12.27,7100.0,12.39,4700.0,12.26,11000.0,12.4,17900.0,12.25,15600.0,12.41,19900.0,12.24,3600.0,12.42,15200.0,12.23,14700.0
197,12.325,12.33,12.32,50.0,10.0,75.0,14.0,57.0,27.0,12.33,9600.0,12.32,2800.0,12.34,2900.0,12.31,18300.0,12.35,6600.0,12.3,13100.0,12.36,18900.0,12.29,10300.0,12.37,4900.0,12.28,10200.0,12.38,5300.0,12.27,4400.0,12.39,16400.0,12.26,7500.0,12.4,14000.0,12.25,14800.0,12.41,11400.0,12.24,11200.0,12.42,4400.0,12.23,11000.0
198,12.325001,12.34,12.31,59.0,58.0,50.0,64.0,32.0,43.0,12.34,15200.0,12.31,4700.0,12.35,5400.0,12.3,14100.0,12.36,19600.0,12.29,8400.0,12.37,16700.0,12.28,4400.0,12.38,11800.0,12.27,18900.0,12.39,9300.0,12.26,10600.0,12.4,3900.0,12.25,11000.0,12.41,12100.0,12.24,19600.0,12.42,4800.0,12.23,7900.0,12.43,13200.0,12.22,18900.0
199,12.325,12.33,12.32,10.0,55.0,63.0,39.0,5.0,40.0,12.33,5500.0,12.32,14200.0,12.34,17700.0,12.31,13000.0,12.35,9100.0,12.3,5400.0,12.36,6400.0,12.29,1900.0,12.37,3800.0,12.28,9300.0,12.38,3600.0,12.27,1100.0,12.39,14100.0,12.26,2300.0,12.4,3600.0,12.25,12300.0,12.41,18500.0,12.24,14700.0,12.42,1600.0,12.23,4100.0
200,12.33,12.34,12.32,29.0,10.0,61.0,8.0,34.0,44.0,12.34,15000.0,12.32,14900.0,12.35,8400.0,12.31,19000.0,12.36,17800.0,12.3,15100.0,12.37,15200.0,12.29,15900.0,12.38,3800.0,12.28,14300.0,12.39,18800.0,12.27,5200.0,12.4,1200.0,12.26,7800.0,12.41,6100.0,12.25,19000.0,12.42,9400.0,12.24,13500.0,12.43,19600.0,12.23,15900.0
201,12.325001,12.34,12.31,62.0,64.0,18.0,29.0,30.0,65.0,12.34,15200.0,12.31,19400.0,12.35,14000.0,12.3,5300.0,12.36,14800.0,12.29,7100.0,12.37,7200.0,12.28,13200.0,12.38,6900.0,12.27,1400.0,12.39,19900.0,12.26,11800.0,12.4,13700.0,12.25,16300.0,12.41,13000.0,12.24,12500.0,12.42,16000.0,12.23,6600.0,12.43,16700.0,12.22,14700.0
202,12.325001,12.35,12.3,12.0,54.0,50.0,34.0,59.0,73.0,12.35,4400.0,12.3,3700.0,12.36,17700.0,12.29,18000.0,12.37,19800.0,12.28,2900.0,12.38,18000.0,12.27,17400.0,12.39,15500.0,12.26,10400.0,12.4,10600.0,12.25,9100.0,12.41,1500.0,12.24,10500.0,12.42,5500.0,12.23,4800.0,12.43,2000.0,12.22,9600.0,12.44,1900.0,12.21,17100.0
203,12.345,12.35,12.34,67.0,3.0,9.0,33.0,23.0,67.0,12.35,17900.0,12.34,16200.0,12.36,6700.0,12.33,4000.0,12.37,10500.0,12.32,13700.0,12.38,1300.0,12.31,17200.0,12.39,9300.0,12.3,16500.0,12.4,2400.0,12.29,9000.0,12.41,9700.0,12.28,1900.0,12.42,14400.0,12.27,18600.0,12.43,11200.0,12.26,8500.0,12.44,13000.0,12.25,7800.0
204,12.325001,12.34,12.31,48.0,48.0,42.0,61.0,60.0,45.0,12.34,7800.0,12.31,15400.0,12.35,12200.0,12.3,6000.0,12.36,8700.0,12.29,16800.0,12.37,11000.0,12.28,2400.0,12.38,17200.0,12.27,15000.0,12.39,6000.0,12.26,19300.0,12.4,19000.0,12.25,19900.0,12.41,8100.0,12.24,18500.0,12.42,16300.0,12.23,17500.0,12.43,11300.0,12.22,6200.0
205,12.325,12.33,12.32,57.0,67.0,79.0,38.0,59.0,28.0,12.33,5300.0,12.32,19300.0,12.34,10500.0,12.31,18600.0,12.35,11500.0,12.3,11100.0,12.36,2300.0,12.29,8600.0,12.37,11500.0,12.28,3000.0,12.38,4000.0,12.27,12200.0,12.39,5700.0,12.26,14300.0,12.4,9700.0,12.25,8600.0,12.41,3200.0,12.24,8700.0,12.42,11300.0,12.23,11800.0
206,12.315001,12.33,12.3,66.0,76.0,16.0,48.0,50.0,71.0,12.33,6100.0,12.3,1500.0,12.34,18700.0,12.29,19100.0,12.35,18100.0,12.28,6500.0,12.36,12400.0,12.27,3600.0,12.37,18200.0,12.26,1100.0,12.38,9900.0,12.25,17200.0,12.39,14700.0,12.24,17400.0,12.4,10400.0,12.23,2800.0,12.41,1100.0,12.22,3800.0,12.42,2000.0,12.21,9500.0
207,12.315001,12.33,12.3,19.0,67.0,57.0,66.0,29.0,50.0,12.33,1900.0,12.3,4500.0,12.34,8900.0,12.29,14900.0,12.35,13800.0,12.28,2100.0,12.36,18100.0,12.27,11400.0,12.37,7600.0,12.26,8200.0,12.38,17100.0,12.25,9800.0,12.39,5600.0,12.24,9000.0,12.4,2300.0,12.23,3900.0,12.41,6900.0,12.22,5100.0,12.42,7600.0,12.21,2200.0
208,12.32,12.34,12.3,18.0,68.0,4.0,74.0,9.0,57.0,12.34,12500.0,12.3,3100.0,12.35,5100.0,12.29,19500.0,12.36,1100.0,12.28,6300.0,12.37,10500.0,12.27,6800.0,12.38,7000.0,12.26,3400.0,12.39,9000.0,12.25,15300.0,12.4,12100.0,12.24,18500.0,12.41,14200.0,12.23,16000.0,12.42,9200.0,12.22,12600.0,12.43,11900.0,12.21,16400.0
209,12.315001,12.33,12.3,46.0,11.0,41.0,19.0,16.0,25.0,12.33,10500.0,12.3,8600.0,12.34,2300.0,12.29,17300.0,12.35,9200.0,12.28,16100.0,12.36,13800.0,12.27,1000.0,12.37,13300.0,12.26,10200.0,12.38,5500.0,12.25,6000.0,12.39,13100.0,12.24,2600.0,12.4,12500.0,12.23,17000.0,12.41,2600.0,12.22,1100.0,12.42,2100.0,12.21,14800.0
